modelo,horizonte,ACC,RA
1C,1,0.9316,0.9593
1C,2,0.8466,0.9132
1C,3,0.7634,0.8742
1C,4,0.6987,0.8529
1C,5,0.6401,0.8443
1C,6,0.5885,0.84
1C,7,0.5436,0.836
2C,1,0.9315,0.9551
2C,2,0.8483,0.9012
2C,3,0.7677,0.8611
2C,4,0.7055,0.8427
2C,5,0.6477,0.8308
2C,6,0.5967,0.8226
2C,7,0.5517,0.8206
2C-BN,1,0.9299,0.9619
2C-BN,2,0.8461,0.9203
2C-BN,3,0.764,0.8735
2C-BN,4,0.6997,0.8596
2C-BN,5,0.6385,0.8447
2C-BN,6,0.584,0.8342
2C-BN,7,0.5356,0.8306
2C-PH,1,0.9326,0.9541
2C-PH,2,0.8497,0.892
2C-PH,3,0.7718,0.8469
2C-PH,4,0.7106,0.8235
2C-PH,5,0.6552,0.8094
2C-PH,6,0.6055,0.8015
2C-PH,7,0.5594,0.7922
2C-S,1,0.9329,0.9569
2C-S,2,0.8485,0.8994
2C-S,3,0.7682,0.8596
2C-S,4,0.7051,0.8369
2C-S,5,0.6469,0.8296
2C-S,6,0.5954,0.8231
2C-S,7,0.549,0.8207
2C-S-PH,1,0.9341,0.9552
2C-S-PH,2,0.8519,0.8962
2C-S-PH,3,0.7736,0.8529
2C-S-PH,4,0.7129,0.8309
2C-S-PH,5,0.6563,0.8178
2C-S-PH,6,0.6066,0.8099
2C-S-PH,7,0.5611,0.8056
2C-BN-PH,1,0.9224,0.9932
2C-BN-PH,2,0.8403,0.943
2C-BN-PH,3,0.7571,0.9105
2C-BN-PH,4,0.6957,0.9084
2C-BN-PH,5,0.6341,0.8961
2C-BN-PH,6,0.5821,0.9103
2C-BN-PH,7,0.5315,0.9022
2C-BN-S,1,0.9325,0.9543
2C-BN-S,2,0.8468,0.8966
2C-BN-S,3,0.7657,0.8517
2C-BN-S,4,0.7011,0.8331
2C-BN-S,5,0.6413,0.8166
2C-BN-S,6,0.5875,0.8109
2C-BN-S,7,0.5417,0.8058
2C-BN-S-PH,1,0.9322,0.9609
2C-BN-S-PH,2,0.8484,0.8971
2C-BN-S-PH,3,0.7679,0.8606
2C-BN-S-PH,4,0.7071,0.8399
2C-BN-S-PH,5,0.6489,0.8278
2C-BN-S-PH,6,0.5987,0.826
2C-BN-S-PH,7,0.553,0.8234
2C-BN-D,1,0.9146,0.9174
2C-BN-D,2,0.8252,0.9018
2C-BN-D,3,0.7395,0.8821
2C-BN-D,4,0.6744,0.8917
2C-BN-D,5,0.6142,0.8843
2C-BN-D,6,0.5556,0.8768
2C-BN-D,7,0.5042,0.8628
2C-BN-D-PH,1,0.9115,0.9086
2C-BN-D-PH,2,0.8073,0.8642
2C-BN-D-PH,3,0.7262,0.8531
2C-BN-D-PH,4,0.6596,0.8462
2C-BN-D-PH,5,0.5988,0.8447
2C-BN-D-PH,6,0.5519,0.8462
2C-BN-D-PH,7,0.4778,0.8226
2C-BN-D-S,1,0.9317,0.9729
2C-BN-D-S,2,0.844,0.9395
2C-BN-D-S,3,0.7584,0.9138
2C-BN-D-S,4,0.6922,0.9006
2C-BN-D-S,5,0.6316,0.8914
2C-BN-D-S,6,0.5782,0.8859
2C-BN-D-S,7,0.5315,0.8822
2C-D-S,1,0.9328,0.9558
2C-D-S,2,0.8483,0.9067
2C-D-S,3,0.7673,0.8714
2C-D-S,4,0.7045,0.8535
2C-D-S,5,0.6471,0.8429
2C-D-S,6,0.5957,0.8369
2C-D-S,7,0.5506,0.834
2C-BN-D-S-PH,1,0.9337,0.9589
2C-BN-D-S-PH,2,0.8503,0.909
2C-BN-D-S-PH,3,0.7702,0.876
2C-BN-D-S-PH,4,0.7084,0.857
2C-BN-D-S-PH,5,0.6515,0.8448
2C-BN-D-S-PH,6,0.6005,0.8382
2C-BN-D-S-PH,7,0.5563,0.8348
